id,name,active,stages
5e9d0d95eda69955f709d1eb,Falcon 1,0,2
5e9d0d95eda69973a809d1ec,Falcon 9,1,2
5e9d0d95eda69974db09d1ed,Falcon Heavy,1,2
5e9d0d96eda699382d09d1ee,Starship,0,2
